0,0
2,1
0,2
1,0
3,1
5,0
7,1
9,0
11,1
13,0
15,1
17,0
19,1
21,0
23,1
25,0
27,1
29,0
31,1
33,0
35,1
37,0
39,1
41,0
43,1
45,0
47,1
49,0
51,1
53,0
55,1
57,0
59,1
61,0
63,1
65,0
67,1
69,0
71,1
73,0
75,1
77,0
79,1
81,0
83,1
85,0
87,1
89,0
91,1
93,0
95,1
97,0
99,1
101,0
103,1
105,0
107,1
109,0
111,1
113,0
115,1
117,0
119,1
121,0
123,1
125,0
127,1
129,0
131,1
133,0
134,2
132,1
134,0
133,2
134,4
132,3
133,1
134,3
133,5
134,7
133,9
134,11
133,13
134,15
133,17
134,19
133,21
134,23
133,25
134,27
133,29
134,31
133,33
134,35
133,37
134,39
133,41
134,43
133,45
134,47
133,49
134,51
133,53
134,55
133,57
134,59
133,61
134,63
133,65
134,67
133,69
134,71
133,73
134,75
133,77
134,79
133,81
134,83
133,85
134,87
133,89
134,91
133,93
134,95
133,97
134,99
133,101
134,103
133,105
134,107
133,109
134,111
133,113
134,115
133,117
134,119
133,121
134,123
133,125
134,127
133,129
134,131
133,133
131,134
129,133
127,134
125,133
123,134
121,133
119,134
117,133
115,134
113,133
111,134
109,133
107,134
105,133
103,134
101,133
99,134
97,133
95,134
93,133
91,134
89,133
87,134
85,133
83,134
81,133
79,134
77,133
75,134
73,133
71,134
69,133
67,134
65,133
63,134
61,133
59,134
57,133
55,134
53,133
51,134
49,133
47,134
45,133
43,134
41,133
39,134
37,133
35,134
33,133
31,134
29,133
27,134
25,133
23,134
21,133
19,134
17,133
15,134
13,133
11,134
9,133
7,134
5,133
3,134
1,133
0,131
1,129
0,127
1,125
0,123
1,121
0,119
1,117
0,115
1,113
0,111
1,109
0,107
1,105
0,103
1,101
0,99
1,97
0,95
1,93
0,91
1,89
0,87
1,85
0,83
1,81
0,79
1,77
0,75
1,73
0,71
1,69
0,67
1,65
0,63
1,61
0,59
1,57
0,55
1,53
0,51
1,49
0,47
1,45
0,43
1,41
0,39
1,37
0,35
1,33
0,31
1,29
0,27
1,25
0,23
1,21
0,19
1,17
0,15
1,13
0,11
1,9
0,7
1,5
0,3
1,1
3,0
2,2
0,1
2,0
1,2
0,4
2,3
4,2
3,4
1,3
0,5
2,4
3,2
4,0
6,1
8,0
9,2
10,0
8,1
6,0
4,1
5,3
7,2
5,1
7,0
6,2
4,3
3,5
1,4
0,6
2,7
0,8
1,6
2,8
0,9
1,7
2,5
3,3
5,2
7,3
5,4
4,6
3,8
2,6
1,8
0,10
2,9
3,7
4,5
6,4
5,6
4,4
3,6
4,8
3,10
1,11
0,13
2,12
1,10
0,12
2,11
3,9
4,7
5,5
6,3
8,2
7,4
6,6
5,8
4,10
3,12
2,10
1,12
0,14
2,13
3,11
4,9
5,7
6,5
8,4
7,6
6,8
5,10
4,12
3,14
1,15
0,17
2,16
1,14
0,16
2,15
3,13
4,11
5,9
6,7
7,5
8,3
9,1
11,0
10,2
9,4
8,6
7,8
6,10
5,12
4,14
3,16
2,14
1,16
0,18
2,17
3,15
4,13
5,11
6,9
7,7
8,5
9,3
10,1
12,0
11,2
10,4
9,6
8,8
7,10
6,12
5,14
4,16
3,18
1,19
0,21
2,20
1,18
0,20
2,19
3,17
4,15
5,13
6,11
7,9
8,7
9,5
10,3
12,2
11,4
10,6
9,8
8,10
7,12
6,14
5,16
4,18
3,20
2,18
1,20
0,22
2,21
3,19
4,17
5,15
6,13
7,11
8,9
9,7
10,5
11,3
12,1
14,0
13,2
12,4
11,6
10,8
9,10
8,12
7,14
6,16
5,18
4,20
3,22
1,23
0,25
2,24
1,22
0,24
2,23
3,21
4,19
5,17
6,15
7,13
8,11
9,9
10,7
11,5
12,3
13,1
15,0
14,2
13,4
12,6
11,8
10,10
9,12
8,14
7,16
6,18
5,20
4,22
3,24
2,22
1,24
0,26
2,25
3,23
4,21
5,19
6,17
7,15
8,13
9,11
10,9
11,7
12,5
13,3
14,1
16,0
15,2
14,4
13,6
12,8
11,10
10,12
9,14
8,16
7,18
6,20
5,22
4,24
3,26
1,27
0,29
2,28
1,26
0,28
2,27
3,25
4,23
5,21
6,19
7,17
8,15
9,13
10,11
11,9
12,7
13,5
14,3
16,2
15,4
14,6
13,8
12,10
11,12
10,14
9,16
